date,kind,ticker,detail
2009-12-18,stale_list,CIEN,"record dates this removal to 2009-12-18, but the list still disagreed at 2010-01-23; trusting the record"
2009-12-18,stale_list,CLF,"record dates this addition to 2009-12-18, but the list still disagreed at 2010-01-23; trusting the record"
2009-12-18,stale_list,CVG,"record dates this removal to 2009-12-18, but the list still disagreed at 2010-01-23; trusting the record"
2009-12-18,stale_list,DYN,"record dates this removal to 2009-12-18, but the list still disagreed at 2010-01-23; trusting the record"
2009-12-18,stale_list,KBH,"record dates this removal to 2009-12-18, but the list still disagreed at 2010-01-23; trusting the record"
2009-12-18,stale_list,MBI,"record dates this removal to 2009-12-18, but the list still disagreed at 2010-01-23; trusting the record"
2009-12-18,stale_list,MJN,"record dates this addition to 2009-12-18, but the list still disagreed at 2010-01-23; trusting the record"
2009-12-18,stale_list,ROST,"record dates this addition to 2009-12-18, but the list still disagreed at 2010-01-23; trusting the record"
2009-12-18,stale_list,SAI,"record dates this addition to 2009-12-18, but the list still disagreed at 2010-01-23; trusting the record"
2009-12-18,stale_list,V,"record dates this addition to 2009-12-18, but the list still disagreed at 2010-01-23; trusting the record"
2010-02-26,stale_list,HP,"record dates this addition to 2010-02-26, but the list still disagreed at 2010-03-22; trusting the record"
2010-02-26,stale_list,RX,"record dates this removal to 2010-02-26, but the list still disagreed at 2010-03-22; trusting the record"
2010-06-28,stale_list,KMX,"record dates this addition to 2010-06-28, but the list still disagreed at 2010-07-11; trusting the record"
2010-06-28,stale_list,XTO,"record dates this removal to 2010-06-28, but the list still disagreed at 2010-07-11; trusting the record"
2010-06-30,stale_list,QEP,"record dates this addition to 2010-06-30, but the list still disagreed at 2010-07-11; trusting the record"
2010-06-30,stale_list,STR,"record dates this removal to 2010-06-30, but the list still disagreed at 2010-07-11; trusting the record"
2010-07-14,phantom_addition,CB,record dated 2010-07-14 matches no transition in the snapshots
2010-11-17,issuer_changed,IR,"run from 2010-11-17 states several CIKs (0001466258, 0001699150); published value is the most stated"
2010-12-17,stale_list,CVC,"record dates this addition to 2010-12-17, but the list still disagreed at 2011-03-07; trusting the record"
2010-12-17,stale_list,EK,"record dates this removal to 2010-12-17, but the list still disagreed at 2011-03-07; trusting the record"
2010-12-17,stale_list,FFIV,"record dates this addition to 2010-12-17, but the list still disagreed at 2011-03-07; trusting the record"
2010-12-17,stale_list,KG,"record dates this removal to 2010-12-17, but the list still disagreed at 2011-03-07; trusting the record"
2010-12-17,stale_list,NFLX,"record dates this addition to 2010-12-17, but the list still disagreed at 2011-03-07; trusting the record"
2010-12-17,stale_list,NFX,"record dates this addition to 2010-12-17, but the list still disagreed at 2011-03-07; trusting the record"
2010-12-17,stale_list,NYT,"record dates this removal to 2010-12-17, but the list still disagreed at 2011-03-07; trusting the record"
2010-12-17,stale_list,ODP,"record dates this removal to 2010-12-17, but the list still disagreed at 2011-03-07; trusting the record"
2011-01-03,stale_list,MDP,"record dates this removal to 2011-01-03, but the list still disagreed at 2011-03-07; trusting the record"
2011-01-03,stale_list,MMI,"record dates this addition to 2011-01-03, but the list still disagreed at 2011-03-07; trusting the record"
2011-02-25,stale_list,JOYG,"record dates this addition to 2011-02-25, but the list still disagreed at 2011-03-07; trusting the record"
2011-02-28,stale_list,MFE,"record dates this removal to 2011-02-28, but the list still disagreed at 2011-03-07; trusting the record"
2011-03-24,unexplained_addition,MSI,appeared between 2011-03-07 and 2011-03-24 with no change record
2011-03-24,unexplained_addition,NE,appeared between 2011-03-07 and 2011-03-24 with no change record
2011-03-24,unexplained_removal,MOT,vanished between 2011-03-07 and 2011-03-24 with no change record
2011-03-24,unexplained_removal,QLGC,vanished between 2011-03-07 and 2011-03-24 with no change record
2011-03-31,stale_list,EW,"record dates this addition to 2011-03-31, but the list still disagreed at 2011-04-07; trusting the record"
2011-03-31,stale_list,Q,"record dates this removal to 2011-03-31, but the list still disagreed at 2011-04-07; trusting the record"
2011-04-01,issuer_changed,BLK,"run from 2011-04-01 states several CIKs (0001364742, 0002012383); published value is the most stated"
2011-04-01,stale_list,BLK,"record dates this addition to 2011-04-01, but the list still disagreed at 2011-04-07; trusting the record"
2011-04-01,stale_list,GENZ,"record dates this removal to 2011-04-01, but the list still disagreed at 2011-04-07; trusting the record"
2011-06-09,unexplained_addition,WFM,appeared between 2011-05-24 and 2011-06-09 with no change record
2011-06-09,unexplained_removal,WFMI,vanished between 2011-05-24 and 2011-06-09 with no change record
2011-06-30,stale_list,MPC,"record dates this addition to 2011-06-30, but the list still disagreed at 2011-12-28; trusting the record"
2011-06-30,stale_list,RSH,"record dates this removal to 2011-06-30, but the list still disagreed at 2011-12-28; trusting the record"
2011-07-05,stale_list,ACN,"record dates this addition to 2011-07-05, but the list still disagreed at 2011-11-05; trusting the record"
2011-07-05,stale_list,MI,"record dates this removal to 2011-07-05, but the list still disagreed at 2011-11-05; trusting the record"
2011-09-23,stale_list,MOS,"record dates this addition to 2011-09-23, but the list still disagreed at 2011-10-01; trusting the record"
2011-09-23,stale_list,NSM,"record dates this removal to 2011-09-23, but the list still disagreed at 2011-10-01; trusting the record"
2011-10-14,stale_list,CEPH,"record dates this removal to 2011-10-14, but the list still disagreed at 2011-10-19; trusting the record"
2011-10-14,stale_list,TEL,"record dates this addition to 2011-10-14, but the list still disagreed at 2011-10-19; trusting the record"
2011-10-31,stale_list,XYL,"record dates this addition to 2011-10-31, but the list still disagreed at 2011-11-05; trusting the record"
2011-11-18,stale_list,CBE,"record dates this addition to 2011-11-18, but the list still disagreed at 2011-11-22; trusting the record"
2011-11-18,stale_list,JNS,"record dates this removal to 2011-11-18, but the list still disagreed at 2011-11-22; trusting the record"
2011-11-22,unexplained_addition,BEAM,appeared between 2011-11-05 and 2011-11-22 with no change record
2011-11-22,unexplained_removal,FO,vanished between 2011-11-05 and 2011-11-22 with no change record
2011-11-22,unexplained_removal,ITT,vanished between 2011-11-05 and 2011-11-22 with no change record
2011-12-12,issuer_split,GAS,record dated 2011-12-12 removes and adds this symbol in one day; the run is split into two issuers
2011-12-12,stale_list,GAS,"record dated 2011-12-12 removed this name, but the list still carried it at 2011-11-22; trusting the record"
2011-12-16,stale_list,AKS,"record dates this removal to 2011-12-16, but the list still disagreed at 2011-12-28; trusting the record"
2011-12-16,stale_list,BWA,"record dates this addition to 2011-12-16, but the list still disagreed at 2011-12-28; trusting the record"
2011-12-16,stale_list,DLTR,"record dates this addition to 2011-12-16, but the list still disagreed at 2011-12-28; trusting the record"
2011-12-16,stale_list,MWW,"record dates this removal to 2011-12-16, but the list still disagreed at 2011-12-28; trusting the record"
2011-12-16,stale_list,PRGO,"record dates this addition to 2011-12-16, but the list still disagreed at 2011-12-28; trusting the record"
2011-12-16,stale_list,WFR,"record dates this removal to 2011-12-16, but the list still disagreed at 2011-12-28; trusting the record"
2011-12-20,stale_list,TRIP,"record dates this addition to 2011-12-20, but the list still disagreed at 2011-12-28; trusting the record"
2011-12-28,unexplained_addition,EA,appeared between 2011-11-22 and 2011-12-28 with no change record
2011-12-28,unexplained_addition,JOY,appeared between 2011-11-22 and 2011-12-28 with no change record
2011-12-28,unexplained_removal,ERTS,vanished between 2011-11-22 and 2011-12-28 with no change record
2011-12-28,unexplained_removal,JOYG,vanished between 2011-11-22 and 2011-12-28 with no change record
2012-03-13,stale_list,CCI,"record dates this addition to 2012-03-13, but the list still disagreed at 2012-04-04; trusting the record"
2012-03-13,stale_list,CEG,"record dates this removal to 2012-03-13, but the list still disagreed at 2012-04-04; trusting the record"
2012-04-03,stale_list,FOSL,"record dates this addition to 2012-04-03, but the list still disagreed at 2012-04-04; trusting the record"
2012-04-03,stale_list,MHS,"record dates this removal to 2012-04-03, but the list still disagreed at 2012-04-04; trusting the record"
2012-05-21,stale_list,ALXN,"record dates this addition to 2012-05-21, but the list still disagreed at 2012-05-29; trusting the record"
2012-05-21,stale_list,MMI,"record dates this removal to 2012-05-21, but the list still disagreed at 2012-05-29; trusting the record"
2013-01-25,unexplained_addition,ACT,appeared between 2012-12-27 and 2013-01-25 with no change record
2013-01-25,unexplained_removal,WPI,vanished between 2012-12-27 and 2013-01-25 with no change record
2013-05-19,unexplained_addition,MHFI,appeared between 2013-05-02 and 2013-05-19 with no change record
2013-05-19,unexplained_removal,MHP,vanished between 2013-05-02 and 2013-05-19 with no change record
2013-06-21,stale_list,FHN,"record dates this removal to 2013-06-21, but the list still disagreed at 2013-08-24; trusting the record"
2013-06-21,stale_list,ZTS,"record dates this addition to 2013-06-21, but the list still disagreed at 2013-08-24; trusting the record"
2013-07-01,phantom_addition,NWS-A,record dated 2013-07-01 matches no transition in the snapshots
2013-07-01,stale_list,APOL,"record dates this removal to 2013-07-01, but the list still disagreed at 2013-07-08; trusting the record"
2013-08-09,unexplained_addition,FOXA,appeared between 2013-07-08 and 2013-08-09 with no change record
2013-09-10,stale_list,BMC,"record dates this removal to 2013-09-10, but the list still disagreed at 2013-09-11; trusting the record"
2013-09-10,stale_list,DAL,"record dates this addition to 2013-09-10, but the list still disagreed at 2013-09-11; trusting the record"
2013-09-20,stale_list,AMD,"record dates this removal to 2013-09-20, but the list still disagreed at 2013-11-02; trusting the record"
2013-09-20,stale_list,AME,"record dates this addition to 2013-09-20, but the list still disagreed at 2013-11-02; trusting the record"
2013-09-20,stale_list,SAI,"record dates this removal to 2013-09-20, but the list still disagreed at 2013-09-29; trusting the record"
2013-09-20,stale_list,VRTX,"record dates this addition to 2013-09-20, but the list still disagreed at 2013-11-02; trusting the record"
2013-10-15,unexplained_addition,SAIC,appeared between 2013-09-29 and 2013-10-15 with no change record
2013-10-29,stale_list,DELL,"record dates this removal to 2013-10-29, but the list still disagreed at 2013-12-01; trusting the record"
2013-10-29,stale_list,RIG,"record dates this addition to 2013-10-29, but the list still disagreed at 2013-12-01; trusting the record"
2013-11-13,stale_list,KORS,"record dates this addition to 2013-11-13, but the list still disagreed at 2013-11-16; trusting the record"
2013-11-13,stale_list,NYX,"record dates this removal to 2013-11-13, but the list still disagreed at 2013-11-16; trusting the record"
2013-11-16,unexplained_removal,SAIC,vanished between 2013-11-02 and 2013-11-16 with no change record
2013-12-01,unexplained_addition,ALLE,appeared between 2013-11-16 and 2013-12-01 with no change record
2013-12-01,unexplained_removal,JCP,vanished between 2013-11-16 and 2013-12-01 with no change record
2013-12-10,issuer_changed,GGP,"run from 2013-12-10 states several CIKs (0000895648, 0001496048); published value is the most stated"
2013-12-19,unexplained_addition,GHC,appeared between 2013-12-01 and 2013-12-19 with no change record
2013-12-19,unexplained_addition,LB,appeared between 2013-12-01 and 2013-12-19 with no change record
2013-12-19,unexplained_removal,LTD,vanished between 2013-12-01 and 2013-12-19 with no change record
2013-12-19,unexplained_removal,WPO,vanished between 2013-12-01 and 2013-12-19 with no change record
2014-01-24,stale_list,LIFE,"record dates this removal to 2014-01-24, but the list still disagreed at 2014-01-28; trusting the record"
2014-01-24,stale_list,TSCO,"record dates this addition to 2014-01-24, but the list still disagreed at 2014-01-28; trusting the record"
2014-03-21,stale_list,GMCR,"record dates this addition to 2014-03-21, but the list still disagreed at 2014-03-22; trusting the record"
2014-03-21,stale_list,WPX,"record dates this removal to 2014-03-21, but the list still disagreed at 2014-03-22; trusting the record"
2014-04-03,issuer_changed,GOOGL,"run from 2014-04-03 states several CIKs (0001288776, 0001652044); published value is the most stated"
2014-05-01,issuer_changed,NAVI,"run from 2014-05-01 states several CIKs (0001084750, 0001593538); published value is the most stated"
2014-05-08,issuer_changed,AVGO,"run from 2014-05-08 states several CIKs (0001441634, 0001730168); published value is the most stated"
2014-05-08,stale_list,AVGO,"record dates this addition to 2014-05-08, but the list still disagreed at 2014-05-09; trusting the record"
2014-05-08,stale_list,LSI,"record dates this removal to 2014-05-08, but the list still disagreed at 2014-05-09; trusting the record"
2014-06-20,stale_list,IGT,"record dates this removal to 2014-06-20, but the list still disagreed at 2014-06-21; trusting the record"
2014-06-20,stale_list,XEC,"record dates this addition to 2014-06-20, but the list still disagreed at 2014-06-21; trusting the record"
2014-08-18,stale_list,MNK,"record dates this addition to 2014-08-18, but the list still disagreed at 2014-09-17; trusting the record"
2014-08-18,stale_list,RDC,"record dates this removal to 2014-08-18, but the list still disagreed at 2014-09-17; trusting the record"
2014-09-20,issuer_changed,URI,"run from 2014-09-20 states several CIKs (0001067701, 0001215583); published value is the most stated"
2014-12-24,unexplained_addition,ANTM,appeared between 2014-11-27 and 2014-12-24 with no change record
2014-12-24,unexplained_removal,WLP,vanished between 2014-11-27 and 2014-12-24 with no change record
2015-02-07,issuer_changed,WBA,"run from 2015-02-07 states several CIKs (0000104207, 0001618921); published value is the most stated"
2015-02-07,unexplained_addition,WBA,appeared between 2014-12-24 and 2015-02-07 with no change record
2015-02-07,unexplained_removal,WAG,vanished between 2014-12-24 and 2015-02-07 with no change record
2015-03-06,unexplained_addition,ES,appeared between 2015-02-07 and 2015-03-06 with no change record
2015-03-06,unexplained_removal,NU,vanished between 2015-02-07 and 2015-03-06 with no change record
2015-06-29,issuer_changed,AGN,"run from 2015-06-29 states several CIKs (0000884629, 0001578845); published value is the most stated"
2015-06-29,unexplained_addition,AGN,appeared between 2015-06-10 and 2015-06-29 with no change record
2015-06-29,unexplained_removal,ACT,vanished between 2015-06-10 and 2015-06-29 with no change record
2015-07-06,issuer_changed,KHC,"run from 2015-07-06 states several CIKs (0001545158, 0001637459); published value is the most stated"
2015-07-06,stale_list,KHC,"record dates this addition to 2015-07-06, but the list still disagreed at 2015-07-15; trusting the record"
2015-07-06,stale_list,KRFT,"record dates this removal to 2015-07-06, but the list still disagreed at 2015-07-15; trusting the record"
2015-07-15,unexplained_addition,TGNA,appeared between 2015-06-29 and 2015-07-15 with no change record
2015-07-15,unexplained_addition,ZBH,appeared between 2015-06-29 and 2015-07-15 with no change record
2015-07-15,unexplained_removal,GCI,vanished between 2015-06-29 and 2015-07-15 with no change record
2015-07-15,unexplained_removal,ZMH,vanished between 2015-06-29 and 2015-07-15 with no change record
2015-07-30,issuer_changed,WRK,"run from 2015-07-30 states several CIKs (0001159297, 0001636023, 0001732845); published value is the most stated"
2015-07-30,unexplained_addition,WRK,appeared between 2015-07-15 and 2015-07-30 with no change record
2015-07-30,unexplained_removal,MWV,vanished between 2015-07-15 and 2015-07-30 with no change record
2016-04-08,phantom_addition,UA,record dated 2016-04-08 matches no transition in the snapshots
2016-05-12,unexplained_addition,SPGI,appeared between 2016-04-27 and 2016-05-12 with no change record
2016-05-12,unexplained_removal,MHFI,vanished between 2016-04-27 and 2016-05-12 with no change record
2016-08-22,unexplained_addition,UA-C,appeared between 2016-08-05 and 2016-08-22 with no change record
2016-09-06,stale_list,MTD,"record dates this addition to 2016-09-06, but the list still disagreed at 2016-09-10; trusting the record"
2016-09-06,stale_list,TYC,"record dates this removal to 2016-09-06, but the list still disagreed at 2016-09-10; trusting the record"
2016-09-08,stale_list,CHTR,"record dates this addition to 2016-09-08, but the list still disagreed at 2016-09-10; trusting the record"
2016-09-08,stale_list,EMC,"record dates this removal to 2016-09-08, but the list still disagreed at 2016-09-10; trusting the record"
2016-09-22,stale_list,COO,"record dates this addition to 2016-09-22, but the list still disagreed at 2016-09-24; trusting the record"
2016-09-22,stale_list,HOT,"record dates this removal to 2016-09-22, but the list still disagreed at 2016-09-24; trusting the record"
2016-12-10,ambiguous_rename,UAA,"UA-C ends where UAA begins under one filer, but UA held the same filer across the boundary too; which line continued into which is not stated, so no rename is asserted"
2016-12-10,unexplained_addition,UAA,appeared between 2016-11-26 and 2016-12-10 with no change record
2016-12-10,unexplained_removal,UA-C,vanished between 2016-11-26 and 2016-12-10 with no change record
2017-04-05,stale_list,DNB,"record dates this removal to 2017-04-05, but the list still disagreed at 2017-04-07; trusting the record"
2017-04-05,stale_list,IT,"record dates this addition to 2017-04-05, but the list still disagreed at 2017-04-07; trusting the record"
2017-07-06,unexplained_addition,BHGE,appeared between 2017-06-15 and 2017-07-06 with no change record
2017-07-07,phantom_addition,BKR,record dated 2017-07-07 matches no transition in the snapshots
2017-08-06,unexplained_addition,ANDV,appeared between 2017-07-22 and 2017-08-06 with no change record
2017-08-06,unexplained_removal,TSO,vanished between 2017-07-22 and 2017-08-06 with no change record
2017-10-13,stale_list,LVLT,"record dates this removal to 2017-10-13, but the list still disagreed at 2017-10-17; trusting the record"
2017-10-13,stale_list,NCLH,"record dates this addition to 2017-10-13, but the list still disagreed at 2017-10-17; trusting the record"
2017-10-31,unexplained_addition,TPR,appeared between 2017-10-17 and 2017-10-31 with no change record
2017-10-31,unexplained_removal,COH,vanished between 2017-10-17 and 2017-10-31 with no change record
2017-12-15,unexplained_addition,APTV,appeared between 2017-11-28 and 2017-12-15 with no change record
2017-12-15,unexplained_removal,DLPH,vanished between 2017-11-28 and 2017-12-15 with no change record
2018-01-03,stale_list,BCR,"record dates this removal to 2018-01-03, but the list still disagreed at 2018-01-04; trusting the record"
2018-01-03,stale_list,HII,"record dates this addition to 2018-01-03, but the list still disagreed at 2018-01-04; trusting the record"
2018-02-28,unexplained_addition,BKNG,appeared between 2018-02-14 and 2018-02-28 with no change record
2018-02-28,unexplained_addition,WELL,appeared between 2018-02-14 and 2018-02-28 with no change record
2018-02-28,unexplained_removal,HCN,vanished between 2018-02-14 and 2018-02-28 with no change record
2018-02-28,unexplained_removal,PCLN,vanished between 2018-02-14 and 2018-02-28 with no change record
2018-04-03,unexplained_addition,CBRE,appeared between 2018-03-16 and 2018-04-03 with no change record
2018-04-03,unexplained_removal,CBG,vanished between 2018-03-16 and 2018-04-03 with no change record
2018-05-31,unexplained_addition,JEF,appeared between 2018-05-16 and 2018-05-31 with no change record
2018-05-31,unexplained_removal,LUK,vanished between 2018-05-16 and 2018-05-31 with no change record
2018-08-28,stale_list,ANET,"record dates this addition to 2018-08-28, but the list still disagreed at 2018-08-29; trusting the record"
2018-08-28,stale_list,GGP,"record dates this removal to 2018-08-28, but the list still disagreed at 2018-08-29; trusting the record"
